ebird_com_me,dir_exists,got_data,got_coverage,mapped_neighbors,got_draws,got_par_sums,made_trend_maps,got_indices,got_trends,prop_bad_rh,prop_bad_ess,trend_median,trend_q0.025,trend_q0.975,trend_median_10yr,trend_q0.025_10yr,trend_q0.975_10yr,ebird_sci_me,sum_success
Chihuahuan Raven,1,1,1,1,1,1,1,1,1,0,0,-6.436088215,-8.997269408,-3.46700998,-0.06781967,-6.517121398,7.20306472,Corvus_cryptoleucus,6
Chipping Sparrow,1,1,1,1,1,1,1,1,1,0,0,0.19586593,-0.35740531,0.762153516,-4.938887038,-6.32126205,-3.449141658,Spizella_passeri,6
Chestnut-sided Warbler,1,1,1,0,0,0,0,0,0,,,,,,,,,Setophaga_pensylvanica,2
Chukar,1,1,1,1,1,1,1,1,1,0,0,-1.192838543,-4.250259849,1.179963915,-0.870837993,-6.970273138,6.19900986,Alectoris_chukar,6
Chuck-will's-widow,1,1,0,0,0,0,0,0,0,,,,,,,,,Antrostomus_carolinensis,1
Cinmon Teal,1,1,1,1,1,1,1,1,1,0,0,0.21197231,-0.495420413,0.884359568,-2.507699219,-3.986492885,-0.041664868,Spatula_cyanoptera,6
Clark's Nutcracker,1,1,1,1,1,1,1,1,1,0,0,-1.117257227,-3.692036655,0.69417647,-3.410559709,-6.304068037,-0.166066402,Nucifraga_columbia,6
Clapper Rail,1,1,1,1,1,1,1,1,1,0,0,-0.151165546,-0.704437042,0.366093929,0.069238214,-2.281626369,2.277854992,Rallus_crepitans,6
Clay-colored Thrush,1,1,1,0,0,0,0,0,0,,,,,,,,,Turdus_grayi,2
Clay-colored Sparrow,1,1,1,1,1,1,1,1,1,0,0,-3.419495753,-5.32484299,-1.205042334,2.354856305,-4.949365964,13.69255788,Spizella_pallida,6
Cliff Swallow,1,1,0,0,0,0,0,0,0,,,,,,,,,Petrochelidon_pyrrhonota,1
Common Ground Dove,1,1,1,1,1,1,1,1,1,0,0,-2.728802411,-3.185163042,-2.274265453,-3.155995306,-5.024706455,-1.322985163,Columbi_passeri,6
Common Eider,1,1,1,1,1,1,1,1,1,0,0,2.729030587,-1.229604298,7.92649268,9.764736742,-1.918431714,29.83203791,Somateria_mollissima,6
