ebird_spp_code,ebird_com_name,ebird_sci_name,total_counted,historic_cbc_com_name,lon_filter,lat_filter,prov_state_filter,bcr_filter,add_nocturnal,add_feeder,survey_suitability
parjae,Parasitic Jaeger,Stercorarius parasiticus,1761,Parasitic Jaeger,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pecsan,Pectoral Sandpiper,Calidris melanotos,745,Pectoral Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
peflov,Rosy-faced Lovebird,Agapornis roseicollis,678,Rosy-faced Lovebird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pelcor,Pelagic Cormorant,Urile pelagicus,371189,Pelagic Cormorant,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
perfal,Peregrine Falcon,Falco peregrinus,40822,"Peregrine Falcon,Peregrine Falcon (North American),Peregrine Falcon (Peales)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
phaino,Phainopepla,Phainopepla nitens,162782,Phainopepla,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pibgre,Pied-billed Grebe,Podilymbus podiceps,1269824,Pied-billed Grebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pifshe,Pink-footed Shearwater,Ardenna creatopus,372,Pink-footed Shearwater,"-50,-180","90,20",!ZZ,!ZZ,0,0,
piggui,Pigeon Guillemot,Cepphus columba,92285,Pigeon Guillemot,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
pilwoo,Pileated Woodpecker,Dryocopus pileatus,523342,Pileated Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
pingro,Pine Grosbeak,Pinicola enucleator,779381,Pine Grosbeak,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
pinjay,Pinyon Jay,Gymnorhinus cyanocephalus,250417,Pinyon Jay,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pinsis,Pine Siskin,Spinus pinus,4492495,"Pine Siskin,Pine Siskin (Northern),Pine Siskin (green morph)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
pinwar,Pine Warbler,Setophaga pinus,629925,Pine Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
pipplo,Piping Plover,Charadrius melodus,31845,Piping Plover,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pitwhy,Pin-tailed Whydah,Vidua macroura,989,Pin-tailed Whydah,"-50,-180","90,20",!ZZ,!ZZ,0,0,
placha,Plain Chachalaca,Ortalis vetula,16493,Plain Chachalaca,"-50,-180","90,20",!ZZ,!ZZ,0,0,
plsvir,Plumbeous Vireo,Vireo plumbeus,1405,Plumbeous Vireo,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pomjae,Pomarine Jaeger,Stercorarius pomarinus,2027,Pomarine Jaeger,"-50,-180","90,20",!ZZ,!ZZ,0,0,
prafal,Prairie Falcon,Falco mexicanus,28587,Prairie Falcon,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
prawar,Prairie Warbler,Setophaga discolor,24227,Prairie Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
purfin,Purple Finch,Haemorhous purpureus,992091,"Purple Finch,Purple Finch (Eastern),Purple Finch (Western)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
purgal2,Purple Gallinule,Porphyrio martinica,9739,Purple Gallinule,"-50,-180","90,20",!ZZ,!ZZ,0,0,
purmar,Purple Martin,Progne subis,441,Purple Martin,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pursan,Purple Sandpiper,Calidris maritima,169346,Purple Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
purswa3,Gray-headed Swamphen,Porphyrio poliocephalus,791,Gray-headed Swamphen,"-50,-180","90,20",!ZZ,!ZZ,0,0,
pygnut,Pygmy Nuthatch,Sitta pygmaea,371201,Pygmy Nuthatch,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
pyrrhu,Pyrrhuloxia,Cardinalis sinuatus,118806,Pyrrhuloxia,"-50,-180","90,20",!ZZ,!ZZ,0,0,
razorb,Razorbill,Alca torda,268151,Razorbill,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rebmer,Red-breasted Merganser,Mergus serrator,4583899,Red-breasted Merganser,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rebnut,Red-breasted Nuthatch,Sitta canadensis,1050388,Red-breasted Nuthatch,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
rebsap,Red-breasted Sapsucker,Sphyrapicus ruber,40253,"Red-breasted Sapsucker,Red-naped Sapsucker,Yellow-bellied Sapsucker,Yellow-bellied/Red-naped Sapsucker,Red-naped/Red-breasted Sapsucker","-115,-180","90,20",!ZZ,!ZZ,0,0,medium
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,2379532,Red-bellied Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
recpar,Red-crowned Amazon,Amazona viridigenalis,37730,"Red-crowned Amazon,Red-crowned Parrot","-50,-180","90,20",!ZZ,!ZZ,0,0,
recwoo,Red-cockaded Woodpecker,Dryobates borealis,12663,Red-cockaded Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
redcro,Red Crossbill,Loxia curvirostra,378195,"Red Crossbill,Red Crossbill (Altai),Red Crossbill (Appalachian or type 1),Red Crossbill (Douglas-fir or type 4),Red Crossbill (Ponderosa Pine or type 2),Red Crossbill (Sitka Spruce or type 10),Red Crossbill (South Hills or type 9),Red Crossbill (Western Hemlock or type 3)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
redegr,Reddish Egret,Egretta rufescens,34714,Reddish Egret,"-50,-180","90,20",!ZZ,!ZZ,0,0,
redhea,Redhead,Aythya americana,6908089,Redhead,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
redjun,Red Junglefowl,Gallus gallus,1426,"Red Junglefowl,Red Junglefowl (Domestic type)","-50,-180","90,20",!ZZ,!ZZ,0,0,
redkno,Red Knot,Calidris canutus,222143,Red Knot,"-50,-180","90,20",!ZZ,!ZZ,0,0,
redpha1,Red Phalarope,Phalaropus fulicarius,77781,Red Phalarope,"-50,-180","90,20",!ZZ,!ZZ,0,0,
redpol1,Redpoll,Acanthis flammea,3151812,"Redpoll,Common Redpoll,Common Redpoll (flammea),Common Redpoll (rostrata),Common/Hoary Redpoll,Hoary Redpoll,Hoary Redpoll (exilipes),Hoary Redpoll (hornemanni)","-50,-180","90,20",!ZZ,!ZZ,0,0,
refcor,Red-faced Cormorant,Urile urile,877,Red-faced Cormorant,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus,322573,Red-headed Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
relpar,Red-lored Amazon,Amazona autumnalis,768,"Red-lored Amazon,Red-lored Parrot","-50,-180","90,20",!ZZ,!ZZ,0,0,
rempar,Red-masked Parakeet,Psittacara erythrogenys,7643,Red-masked Parakeet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rengre,Red-necked Grebe,Podiceps grisegena,185441,Red-necked Grebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
renpha,Red-necked Phalarope,Phalaropus lobatus,1315,Red-necked Phalarope,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rensap,Red-naped Sapsucker,Sphyrapicus nuchalis,15659,"Red-naped Sapsucker,Red-breasted Sapsucker,Yellow-bellied Sapsucker,Yellow-bellied/Red-naped Sapsucker,Red-naped/Red-breasted Sapsucker","-102,-114.9999","90,20",!ZZ,!ZZ,0,0,medium
reshaw,Red-shouldered Hawk,Buteo lineatus,440265,"Red-shouldered Hawk,Red-shouldered Hawk (elegans)","-50,-180","90,20",!ZZ,!ZZ,0,0,
rethaw,Red-tailed Hawk,Buteo jamaicensis,2662811,"Red-tailed Hawk,Red-tailed Hawk (Harlans),Red-tailed Hawk (Kriders),Red-tailed Hawk (abieticola),Red-tailed Hawk (borealis),Red-tailed Hawk (calurus/alascensis),Red-tailed Hawk (fuertesi)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
retloo,Red-throated Loon,Gavia stellata,633610,Red-throated Loon,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
revbul,Red-vented Bulbul,Pycnonotus cafer,297,Red-vented Bulbul,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,1273587412,"Red-winged Blackbird,Red-winged Blackbird (California Bicolored),Red-winged Blackbird (Red-winged)","-50,-180","90,20",!ZZ,!ZZ,0,0,
rewbul,Red-whiskered Bulbul,Pycnonotus jocosus,3088,Red-whiskered Bulbul,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rhiauk,Rhinoceros Auklet,Cerorhinca monocerata,121413,Rhinoceros Auklet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
ribgul,Ring-billed Gull,Larus delawarensis,51124835,Ring-billed Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,
ridrai1,Ridgway's Rail,Rallus obsoletus,308,"Ridgway's Rail,Clapper Rail,Clapper Rail (Atlantic Coast),Clapper Rail (Gulf Coast),Ridgway's Rail (Light-footed),Ridgway's Rail (San Francisco Bay),Ridgway's Rail (Yuma),Ridgway's/Mangrove/Clapper Rail","-109,-180","90,20",!ZZ,!ZZ,0,0,
rinduc,Ring-necked Duck,Aythya collaris,6065053,Ring-necked Duck,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rinkin1,Ringed Kingfisher,Megaceryle torquata,2488,Ringed Kingfisher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rinphe1,Ring-necked Pheasant,Phasianus colchicus,875943,"Ring-necked Pheasant,Ring-necked Pheasant (Ring-necked)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
robgro,Rose-breasted Grosbeak,Pheucticus ludovicianus,640,Rose-breasted Grosbeak,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rocpig,Rock Pigeon,Columba livia,20053,"Rock Pigeon,Rock Pigeon (Feral Pigeon),Rock Pigeon (Wild type)","-50,-180","90,20",!ZZ,!ZZ,0,0,
rocpta1,Rock Ptarmigan,Lagopus muta,2049,Rock Ptarmigan,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rocsan,Rock Sandpiper,Calidris ptilocnemis,151505,Rock Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
rocwre,Rock Wren,Salpinctes obsoletus,74047,"Rock Wren,Rock Wren (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
rolhaw,Rough-legged Hawk,Buteo lagopus,236212,Rough-legged Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rorpar,Rose-ringed Parakeet,Psittacula krameri,8414,Rose-ringed Parakeet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rosgoo,Ross's Goose,Anser rossii,1827548,Ross's Goose,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rosspo1,Roseate Spoonbill,Platalea ajaja,145451,Roseate Spoonbill,"-50,-180","90,20",!ZZ,!ZZ,0,0,
roster,Roseate Tern,Sterna dougallii,103,Roseate Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
royter1,Royal Tern,Thalasseus maximus,586922,Royal Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rthhum,Ruby-throated Hummingbird,Archilochus colubris,10504,Ruby-throated Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
ruckin,Ruby-crowned Kinglet,Corthylio calendula,2977836,Ruby-crowned Kinglet,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rucspa,Rufous-crowned Sparrow,Aimophila ruficeps,62507,Rufous-crowned Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rudduc,Ruddy Duck,Oxyura jamaicensis,11027830,"Ruddy Duck,Ruddy Duck (Ruddy)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rudtur,Ruddy Turnstone,Arenaria interpres,332099,Ruddy Turnstone,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
rufgro,Ruffed Grouse,Bonasa umbellus,147221,Ruffed Grouse,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
rufhum,Rufous Hummingbird,Selasphorus rufus,5727,Rufous Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
rugdov,Ruddy Ground Dove,Columbina talpacoti,285,"Ruddy Ground Dove,Ruddy Ground-Dove","-50,-180","90,20",!ZZ,!ZZ,0,0,
rusbla,Rusty Blackbird,Euphagus carolinus,6622140,Rusty Blackbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
ruwspa,Rufous-winged Sparrow,Peucaea carpalis,8021,Rufous-winged Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
saggro,Greater Sage-Grouse,Centrocercus urophasianus,18837,Greater Sage-Grouse,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sagspa,Sagebrush/Bell's Sparrow (Sage Sparrow),Artemisiospiza nevadensis/belli,62072,"Sagebrush/Bell's Sparrow (Sage Sparrow),Bell's Sparrow,Bell's Sparrow (belli),Bell's Sparrow (canescens),Sagebrush Sparrow","-50,-180","90,20",!ZZ,!ZZ,0,0,
sagthr,Sage Thrasher,Oreoscoptes montanus,10546,Sage Thrasher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sancra,Sandhill Crane,Antigone canadensis,7588157,"Sandhill Crane,Sandhill Crane (canadensis),Sandhill Crane (pulla)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
sander,Sanderling,Calidris alba,2327707,Sanderling,"-50,-180","90,20",!ZZ,!ZZ,0,0,
santer1,Sandwich Tern,Thalasseus sandvicensis,66699,Sandwich Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
savspa,Savannah Sparrow,Passerculus sandwichensis,3409206,"Savannah Sparrow,Savannah Sparrow (Belding's),Savannah Sparrow (Ipswich),Savannah Sparrow (Large-billed),Savannah Sparrow (Savannah)","-50,-180","90,20",!ZZ,!ZZ,0,0,
saypho,Say's Phoebe,Sayornis saya,221851,Say's Phoebe,"-50,-180","90,20",!ZZ,!ZZ,0,0,
scaqua,Scaled Quail,Callipepla squamata,113707,Scaled Quail,"-50,-180","90,20",!ZZ,!ZZ,0,0,
scoori,Scott's Oriole,Icterus parisorum,1028,Scott's Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sctfly,Scissor-tailed Flycatcher,Tyrannus forficatus,3055,Scissor-tailed Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
seaspa,Seaside Sparrow,Ammospiza maritima,51946,"Seaside Sparrow,Seaside Sparrow (Atlantic),Seaside Sparrow (Dusky)","-50,-180","90,20",!ZZ,!ZZ,0,0,
sedwre1,Sedge Wren,Cistothorus stellaris,114823,"Sedge Wren,Sedge Wren (Sedge)","-50,-180","90,20",!ZZ,!ZZ,0,0,
semplo,Semipalmated Plover,Charadrius semipalmatus,551367,Semipalmated Plover,"-50,-180","90,20",!ZZ,!ZZ,0,0,
semsan,Semipalmated Sandpiper,Calidris pusilla,105445,Semipalmated Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
shbdow,Short-billed Dowitcher,Limnodromus griseus,913233,Short-billed Dowitcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sheowl,Short-eared Owl,Asio flammeus,39581,"Short-eared Owl,Short-eared Owl (Northern)","-50,-180","90,20",!ZZ,!ZZ,1,0,medium
shicow,Shiny Cowbird,Molothrus bonariensis,118,Shiny Cowbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
shshaw,Sharp-shinned Hawk,Accipiter striatus,228440,"Sharp-shinned Hawk,Sharp-shinned Hawk (Caribbean),Sharp-shinned Hawk (Northern),Sharp-shinned Hawk (Plain-breasted)","-50,-180","90,20",!ZZ,!ZZ,0,0,
shtgro,Sharp-tailed Grouse,Tympanuchus phasianellus,142571,Sharp-tailed Grouse,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
shthaw,Short-tailed Hawk,Buteo brachyurus,1765,Short-tailed Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
shtshe,Short-tailed Shearwater,Ardenna tenuirostris,1999,Short-tailed Shearwater,"-50,-180","90,20",!ZZ,!ZZ,0,0,
shtspa,Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow),Ammospiza nelsoni/caudacuta,23830,"Nelson's/Saltmarsh Sparrow (Sharp-tailed Sparrow),Nelson's Sparrow (Atlantic Coast),Nelson's Sparrow,Saltmarsh Sparrow","-50,-180","90,20",!ZZ,!ZZ,0,0,
skylar,Eurasian Skylark,Alauda arvensis,2010,"Eurasian Skylark,Sky Lark","-50,-180","90,20",!ZZ,!ZZ,0,0,
smbani,Smooth-billed Ani,Crotophaga ani,13934,Smooth-billed Ani,"-50,-180","90,20",!ZZ,!ZZ,0,0,
smilon,Smith's Longspur,Calcarius pictus,28599,Smith's Longspur,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
snakit,Snail Kite,Rostrhamus sociabilis,2846,Snail Kite,"-50,-180","90,20",!ZZ,!ZZ,0,0,
snobun,Snow Bunting,Plectrophenax nivalis,4827646,Snow Bunting,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
snoegr,Snowy Egret,Egretta thula,1095816,Snowy Egret,"-50,-180","90,20",!ZZ,!ZZ,0,0,
snogoo,Snow Goose,Anser caerulescens,110039904,Snow Goose,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
snoowl1,Snowy Owl,Bubo scandiacus,15931,Snowy Owl,"-50,-180","90,20",!ZZ,!ZZ,1,0,medium
snoplo5,Snowy Plover,Anarhynchus nivosus,90256,Snowy Plover,"-50,-180","90,20",!ZZ,!ZZ,0,0,
solsan,Solitary Sandpiper,Tringa solitaria,1646,Solitary Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sonspa,Song Sparrow,Melospiza melodia,7634202,"Song Sparrow,Song Sparrow (fallax Group),Song Sparrow (heermanni Group),Song Sparrow (melodia/atlantica),Song Sparrow (montana/merrilli)","-50,-180","90,20",!ZZ,!ZZ,0,0,
soogro1,Sooty Grouse,Dendragapus fuliginosus,10000,"Sooty Grouse,Dusky/Sooty Grouse,Dusky Grouse","-50,-180","90,20",!ZZ,"05,15,32,33",0,0,medium
sooshe,Sooty Shearwater,Ardenna grisea,4638,Sooty Shearwater,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sooter1,Sooty Tern,Onychoprion fuscatus,1497,Sooty Tern,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sora,Sora,Porzana carolina,77275,Sora,"-50,-180","90,20",!ZZ,!ZZ,0,0,
spbori,Spot-breasted Oriole,Icterus pectoralis,1870,Spot-breasted Oriole,"-50,-180","90,20",!ZZ,!ZZ,0,0,
spodov,Spotted Dove,Spilopelia chinensis,35049,Spotted Dove,"-50,-180","90,20",!ZZ,!ZZ,0,0,
spoowl,Spotted Owl,Strix occidentalis,1088,"Spotted Owl,Spotted Owl (California),Spotted Owl (Mexican)","-50,-180","90,20",!ZZ,!ZZ,1,0,
sposan,Spotted Sandpiper,Actitis macularius,98842,Spotted Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
spotow,Spotted Towhee,Pipilo maculatus,976031,"Spotted Towhee,Spotted Towhee (maculatus Group),Spotted Towhee (oregonus Group),Spotted/Eastern Towhee (Rufous-sided Towhee),Eastern Towhee,Eastern Towhee (Red-eyed),Eastern Towhee (White-eyed)","-96,-180","90,20",!ZZ,!ZZ,0,0,medium
sprgro,Spruce Grouse,Canachites canadensis,3749,"Spruce Grouse,Spruce Grouse (Franklins)","-50,-180","90,20",!ZZ,!ZZ,0,0,low
sprpip,Sprague's Pipit,Anthus spragueii,9012,Sprague's Pipit,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
steeid,Steller's Eider,Polysticta stelleri,118172,Steller's Eider,"-50,-180","90,20",!ZZ,!ZZ,0,0,
stejay,Steller's Jay,Cyanocitta stelleri,765707,"Steller's Jay,Steller's Jay (Coastal),Steller's Jay (Interior)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
stisan,Stilt Sandpiper,Calidris himantopus,28370,Stilt Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
sumtan,Summer Tanager,Piranga rubra,1598,Summer Tanager,"-50,-180","90,20",!ZZ,!ZZ,0,0,
surfbi,Surfbird,Calidris virgata,69042,Surfbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
sursco,Surf Scoter,Melanitta perspicillata,4968187,Surf Scoter,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
swahaw,Swainson's Hawk,Buteo swainsoni,1024,Swainson's Hawk,"-50,-180","90,20",!ZZ,!ZZ,0,0,
swaspa,Swamp Sparrow,Melospiza georgiana,1550712,Swamp Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
swathr,Swainson's Thrush,Catharus ustulatus,610,Swainson's Thrush,"-50,-180","90,20",!ZZ,!ZZ,0,0,
tamcro,Tamaulipas Crow,Corvus imparatus,5298,Tamaulipas Crow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
tenwar,Tennessee Warbler,Leiothlypis peregrina,476,Tennessee Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
thbmur,Thick-billed Murre,Uria lomvia,132406,Thick-billed Murre,"-50,-180","90,20",!ZZ,!ZZ,0,0,
towsol,Townsend's Solitaire,Myadestes townsendi,209852,Townsend's Solitaire,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
towwar,Townsend's Warbler,Setophaga townsendi,163499,Townsend's Warbler,"-50,-180","90,20",!ZZ,!ZZ,0,0,
treswa,Tree Swallow,Tachycineta bicolor,18142976,Tree Swallow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
tribla,Tricolored Blackbird,Agelaius tricolor,1120332,Tricolored Blackbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
triher,Tricolored Heron,Egretta tricolor,357653,Tricolored Heron,"-50,-180","90,20",!ZZ,!ZZ,0,0,
truswa,Trumpeter Swan,Cygnus buccinator,597196,Trumpeter Swan,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
tufduc,Tufted Duck,Aythya fuligula,1209,Tufted Duck,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
tuftit,Tufted Titmouse,Baeolophus bicolor,4204637,"Tufted Titmouse,Black-crested Titmouse,Tufted/Black-crested Titmouse","-50,-96.9999","90,20",!ZZ,!ZZ,0,0,medium
tunswa,Tundra Swan,Cygnus columbianus,5283891,"Tundra Swan,Tundra Swan (Bewicks),Tundra Swan (Whistling)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
turvul,Turkey Vulture,Cathartes aura,4226654,"Turkey Vulture,Turkey Vulture (Northern)","-50,-180","90,20",!ZZ,!ZZ,0,0,
varthr,Varied Thrush,Ixoreus naevius,574175,Varied Thrush,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
vauswi,Vaux's Swift,Chaetura vauxi,2304,"Vaux's Swift,Vaux's Swift (Vaux's)","-50,-180","90,20",!ZZ,!ZZ,0,0,
verdin,Verdin,Auriparus flaviceps,139213,Verdin,"-50,-180","90,20",!ZZ,!ZZ,0,0,
verfly,Vermilion Flycatcher,Pyrocephalus rubinus,31920,Vermilion Flycatcher,"-50,-180","90,20",!ZZ,!ZZ,0,0,
vesspa,Vesper Sparrow,Pooecetes gramineus,540686,Vesper Sparrow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
vichum,Violet-crowned Hummingbird,Ramosomyia violiceps,106,Violet-crowned Hummingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
vigswa,Violet-green Swallow,Tachycineta thalassina,22725,Violet-green Swallow,"-50,-180","90,20",!ZZ,!ZZ,0,0,
virrai,Virginia Rail,Rallus limicola,88574,"Virginia Rail,Virginia Rail (Virginia)","-50,-180","90,20",!ZZ,!ZZ,0,0,
wantat1,Wandering Tattler,Tringa incana,2410,Wandering Tattler,"-50,-180","90,20",!ZZ,!ZZ,0,0,low
warwhe1,Warbling White-eye,Zosterops japonicus,5953,"Warbling White-eye,Japanese White-eye","-50,-180","90,20",!ZZ,!ZZ,0,0,
wesblu,Western Bluebird,Sialia mexicana,1051433,Western Bluebird,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
wesfly,Western Flycatcher,Empidonax difficilis,154,"Western Flycatcher,Pacific-slope Flycatcher,Cordilleran Flycatcher,Pacific-slope/Cordilleran Flycatcher (Western Flycatcher)","-50,-180","90,20",!ZZ,!ZZ,0,0,
wesgul,Western Gull,Larus occidentalis,2530105,Western Gull,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
weskin,Western Kingbird,Tyrannus verticalis,2160,Western Kingbird,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wesmea,Western Meadowlark,Sturnella neglecta,3021513,Western Meadowlark,"-50,-180","90,20",!ZZ,!ZZ,0,0,
wesowl1,Western Screech-Owl,Megascops kennicottii,20590,"Western Screech-Owl,Eastern Screech-Owl,Eastern Screech-Owl (Northern)","-102,-180","90,20",!ZZ,!ZZ,1,0,low
wessan,Western Sandpiper,Calidris mauri,5731200,Western Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
westan,Western Tanager,Piranga ludoviciana,3033,Western Tanager,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whbnut,White-breasted Nuthatch,Sitta carolinensis,3219025,"White-breasted Nuthatch,White-breasted Nuthatch (Eastern),White-breasted Nuthatch (Interior West),White-breasted Nuthatch (Pacific)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
whcpig2,White-crowned Pigeon,Patagioenas leucocephala,5058,White-crowned Pigeon,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whcspa,White-crowned Sparrow,Zonotrichia leucophrys,10472724,"White-crowned Sparrow,White-crowned Sparrow (Dark-lored),White-crowned Sparrow (Gambels),White-crowned Sparrow (Yellow-billed),White-crowned Sparrow (leucophrys),White-crowned Sparrow (oriantha),White-crowned Sparrow (pugetensis)","-50,-180","90,20",!ZZ,!ZZ,0,0,medium
whepar2,White-eyed Parakeet,Psittacara leucophthalmus,2349,White-eyed Parakeet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whevir,White-eyed Vireo,Vireo griseus,73555,"White-eyed Vireo,White-eyed Vireo (White-eyed)","-50,-180","90,20",!ZZ,!ZZ,0,0,
whfibi,White-faced Ibis,Plegadis chihi,2379256,White-faced Ibis,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whfpar1,White-fronted Amazon,Amazona albifrons,184,"White-fronted Amazon,White-fronted Parrot","-50,-180","90,20",!ZZ,!ZZ,0,0,
whhwoo,White-headed Woodpecker,Dryobates albolarvatus,5680,White-headed Woodpecker,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whiauk,Whiskered Auklet,Aethia pygmaea,111,Whiskered Auklet,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whiibi,White Ibis,Eudocimus albus,4049783,White Ibis,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whimbr,Whimbrel,Numenius phaeopus,33390,"Whimbrel,Whimbrel (American),Whimbrel (European)","-50,-180","90,20",!ZZ,!ZZ,0,0,
whocra,Whooping Crane,Grus americana,4789,Whooping Crane,"-50,-180","90,20",!ZZ,!ZZ,0,0,medium
whrsan,White-rumped Sandpiper,Calidris fuscicollis,1324,White-rumped Sandpiper,"-50,-180","90,20",!ZZ,!ZZ,0,0,
whsowl1,Whiskered Screech-Owl,Megascops trichopsis,467,Whiskered Screech-Owl,"-50,-180","90,20",!ZZ,!ZZ,1,0,
whtdov,White-tipped Dove,Leptotila verreauxi,6939,White-tipped Dove,"-50,-180","90,20",!ZZ,!ZZ,0,0,
